customer_id,company_name,segment,industry,signup_date,signup_cohort,acquisition_channel,plan_tier_initial,initial_seats,initial_mrr
CUST-1001,Helix Works,Mid-Market,Retail,2023-01-19,2023-01,Inbound Marketing,Scale,20,5000.0
CUST-1002,Cobalt Partners,Mid-Market,Healthcare,2023-01-23,2023-01,Self-Serve Promo,Starter,74,3700.0
CUST-1003,Cobalt Logic,Mid-Market,Technology,2023-01-12,2023-01,Partner Referral,Growth,48,5760.0
CUST-1004,Halcyon Industries,SMB,Healthcare,2023-01-05,2023-01,Event/Conference,Starter,10,500.0
CUST-1005,Beacon Holdings,Enterprise,Manufacturing,2023-01-06,2023-01,Event/Conference,Scale,322,80500.0
CUST-1006,Reverb Dynamics,SMB,Healthcare,2023-01-10,2023-01,Partner Referral,Growth,3,360.0
CUST-1007,Tessera Holdings,SMB,Healthcare,2023-01-04,2023-01,Inbound Marketing,Starter,9,450.0
CUST-1008,Tessera Works,SMB,Healthcare,2023-01-18,2023-01,Inbound Marketing,Growth,5,600.0
CUST-1009,Vector Industries,Mid-Market,Media,2023-01-08,2023-01,Event/Conference,Growth,69,8280.0
CUST-1010,Marlin Holdings,SMB,Media,2023-01-22,2023-01,Outbound Sales,Growth,4,480.0
CUST-1011,Vector Works,Mid-Market,Manufacturing,2023-01-04,2023-01,Inbound Marketing,Growth,17,2040.0
CUST-1012,Marlin Partners,SMB,Retail,2023-01-16,2023-01,Inbound Marketing,Growth,11,1320.0
CUST-1013,Reverb Logic,SMB,Healthcare,2023-01-12,2023-01,Inbound Marketing,Starter,7,350.0
CUST-1014,Lattice Cloud,Mid-Market,Healthcare,2023-01-24,2023-01,Outbound Sales,Starter,39,1950.0
CUST-1015,Stratus Dynamics,SMB,Manufacturing,2023-01-18,2023-01,Inbound Marketing,Growth,15,1800.0
CUST-1016,Halcyon Industries,SMB,Manufacturing,2023-01-21,2023-01,Outbound Sales,Starter,13,650.0
CUST-1017,Cobalt Holdings,SMB,Financial Services,2023-01-19,2023-01,Inbound Marketing,Starter,9,450.0
CUST-1018,Apex Group,SMB,Technology,2023-01-26,2023-01,Partner Referral,Starter,7,350.0
CUST-1019,Halcyon Digital,Enterprise,Healthcare,2023-02-08,2023-02,Event/Conference,Scale,224,56000.0
CUST-1020,Apex Holdings,Mid-Market,Professional Services,2023-02-03,2023-02,Inbound Marketing,Growth,62,7440.0
CUST-1021,Citron Systems,SMB,Manufacturing,2023-02-16,2023-02,Outbound Sales,Starter,13,650.0
CUST-1022,Marlin Works,Mid-Market,Retail,2023-02-09,2023-02,Self-Serve Promo,Growth,67,8040.0
CUST-1023,Helix Holdings,SMB,Financial Services,2023-02-02,2023-02,Outbound Sales,Starter,13,650.0
CUST-1024,Helix Group,SMB,Professional Services,2023-02-22,2023-02,Outbound Sales,Starter,7,350.0
CUST-1025,Quantum Digital,SMB,Manufacturing,2023-02-01,2023-02,Inbound Marketing,Starter,6,300.0
CUST-1026,Cobalt Holdings,Mid-Market,Professional Services,2023-02-19,2023-02,Outbound Sales,Growth,44,5280.0
CUST-1027,Citron Partners,SMB,Education,2023-02-09,2023-02,Inbound Marketing,Starter,15,750.0
CUST-1028,Quantum Group,SMB,Retail,2023-02-15,2023-02,Event/Conference,Growth,8,960.0
CUST-1029,Halcyon Solutions,SMB,Professional Services,2023-02-18,2023-02,Partner Referral,Starter,6,300.0
CUST-1030,North Works,SMB,Retail,2023-02-07,2023-02,Event/Conference,Starter,12,600.0
CUST-1031,Helix Digital,SMB,Media,2023-02-09,2023-02,Event/Conference,Growth,15,1800.0
CUST-1032,Quantum Partners,SMB,Technology,2023-02-05,2023-02,Outbound Sales,Growth,6,720.0
CUST-1033,Glide Cloud,SMB,Financial Services,2023-02-21,2023-02,Event/Conference,Growth,4,480.0
CUST-1034,Marlin Dynamics,SMB,Healthcare,2023-02-10,2023-02,Inbound Marketing,Growth,14,1680.0
CUST-1035,Reverb Logic,SMB,Technology,2023-02-26,2023-02,Self-Serve Promo,Starter,3,150.0
CUST-1036,Plinth Solutions,Mid-Market,Education,2023-02-10,2023-02,Outbound Sales,Starter,22,1100.0
CUST-1037,Cobalt Partners,SMB,Manufacturing,2023-03-27,2023-03,Inbound Marketing,Growth,7,840.0
CUST-1038,Tessera Digital,SMB,Technology,2023-03-01,2023-03,Outbound Sales,Starter,4,200.0
CUST-1039,Glide Network,SMB,Technology,2023-03-06,2023-03,Partner Referral,Starter,8,400.0
CUST-1040,Anvil Works,Mid-Market,Manufacturing,2023-03-16,2023-03,Outbound Sales,Starter,58,2900.0
CUST-1041,Citron Group,SMB,Professional Services,2023-03-26,2023-03,Inbound Marketing,Starter,7,350.0
CUST-1042,Apex Solutions,SMB,Financial Services,2023-03-23,2023-03,Inbound Marketing,Starter,15,750.0
CUST-1043,Halcyon Network,SMB,Manufacturing,2023-03-26,2023-03,Event/Conference,Starter,5,250.0
CUST-1044,Mosaic Logic,Mid-Market,Education,2023-03-08,2023-03,Outbound Sales,Starter,43,2150.0
CUST-1045,Halcyon Co,SMB,Healthcare,2023-03-24,2023-03,Inbound Marketing,Starter,15,750.0
CUST-1046,Glide Logic,SMB,Manufacturing,2023-03-26,2023-03,Inbound Marketing,Starter,8,400.0
CUST-1047,Reverb Works,SMB,Professional Services,2023-03-23,2023-03,Outbound Sales,Growth,13,1560.0
CUST-1048,Lattice Cloud,SMB,Financial Services,2023-03-09,2023-03,Outbound Sales,Growth,3,360.0
CUST-1049,Cobalt Works,Mid-Market,Retail,2023-03-05,2023-03,Outbound Sales,Growth,50,6000.0
CUST-1050,Plinth Partners,SMB,Media,2023-03-12,2023-03,Outbound Sales,Starter,3,150.0
CUST-1051,Mosaic Network,SMB,Retail,2023-03-24,2023-03,Inbound Marketing,Starter,12,600.0
CUST-1052,Plinth Digital,SMB,Manufacturing,2023-03-18,2023-03,Outbound Sales,Starter,3,150.0
